root,entry_bar_end_utc,exit_bar_end_utc,entry_completed_trading_date,exit_completed_trading_date,entry_raw_symbol,exit_raw_symbol,held_contracts_unit_plumbing,position_change_from_previous_pnl_row,entry_continuous_close,exit_continuous_close,price_change_points,contract_multiplier,gross_pnl_usd,etf_fee_per_side_usd,estimated_etf_fee_usd,net_after_etf_fees_usd,cumulative_gross_pnl_usd,cumulative_estimated_etf_fees_usd,cumulative_net_after_etf_fees_usd,cost_status,lookahead_status,backtest_row_status
ZT,2022-01-03T05:00:00Z,2022-01-03T06:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,0,110.3984375,110.3984375,0.0,2000.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T06:00:00Z,2022-01-03T07:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,1,-1,110.3984375,110.3984375,0.0,2000.0,0.0,1.36,1.36,-1.36,0.0,1.36,-1.36,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T07:00:00Z,2022-01-03T08:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,1,0,110.3984375,110.38671875,-0.01171875,2000.0,-23.4375,1.36,0.0,-23.4375,-23.4375,1.36,-24.7975,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T08:00:00Z,2022-01-03T09:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,1,110.38671875,110.37109375,-0.015625,2000.0,-62.5,1.36,1.36,-63.86,-85.9375,2.72,-88.6575,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T09:00:00Z,2022-01-03T10:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,0,110.37109375,110.375,0.00390625,2000.0,15.625,1.36,0.0,15.625,-70.3125,2.72,-73.0325,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T10:00:00Z,2022-01-03T11:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,0,110.375,110.3671875,-0.0078125,2000.0,-31.25,1.36,0.0,-31.25,-101.5625,2.72,-104.2825,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T11:00:00Z,2022-01-03T12:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,0,110.3671875,110.3671875,0.0,2000.0,0.0,1.36,0.0,0.0,-101.5625,2.72,-104.2825,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T12:00:00Z,2022-01-03T13:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,0,110.3671875,110.3671875,0.0,2000.0,0.0,1.36,0.0,0.0,-101.5625,2.72,-104.2825,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T13:00:00Z,2022-01-03T14:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,1,-1,110.3671875,110.31640625,-0.05078125,2000.0,-101.5625,1.36,1.36,-102.9225,-203.125,4.08,-207.20499999999998,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2022-01-03T14:00:00Z,2022-01-03T15:00:00Z,2022-01-03,2022-01-03,ZTH2,ZTH2,2,1,110.31640625,110.30078125,-0.015625,2000.0,-62.5,1.36,1.36,-63.86,-265.625,5.44,-271.065,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
